SKG_ProductionID;schema:workPerformed;schema:isBasedOn;schema:genre;schema:description;rdau:P60441;skgpa:dateOfFirstPerformance;rdau:P60399;rdau:P60426;skgpa:hasScenographer;rdau:P60384;rdau:P60433;schema:eventVenue;skgpa:premiereType;rdau:P60142
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P5
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P6
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P7
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P8
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P9
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P10
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P11
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P12
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P13
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P14
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P15
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P16
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P17
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P18
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P19
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P20
SKGPID1;Q25379;SKGPID1W1;Q39894018;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);SKGPID1O1;19470614T030000+0300;SKGPID1P1;SKGPID1P2;SKGPID1P3;SKGPID1P3;SKGPID1P4;Park des Rieterguts, Villa Wesendonck;Q40249907;SKGPID1P21
