Play;Author;Description;Production Company;Date;Director;Music;Stage Design;Costumes;Choreographie;Local Note;Performance Note;Role;Actor
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Demetrius, Liebhaber der Hermia;Freitag, Robert
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Egeus, Vater der Hermia;Jensen, Eugen
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Elfe;Gericke, Sonja
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Flaut, der Bälgenflicker;Schweizer, Armin
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Helena, in Demetrius verliebt;Denzler, Sylva
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Hermia, Tochter des Egeus, in Lysander verliebt;Schalcher, Elvira
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Hippolyta, Königin der Amazonen, mit Theseus verlobt;Naef, Irene
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Lysander, Liebhaber der Hermia;Bichler, Robert
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Oberon, König der Elfen;Ammann, Lukas
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Puck;Parker, Erwin
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Schlucker, der Schneider;Wolfensberger, Kurt
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Schnauz, der Kesselflicker;Knuth, Gustav
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Schnock, der Schreiner;Gretler, Heinrich
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Squenz, der Zimmermann;Braun, Friedrich
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Theseus, Herzog von Athen;Schürenberg, Siegfried
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Titania, Königin der Elfen;Blanc, Anne-Marie
Ein Sommernachtstraum;Shakespeare, William;Theatrical production of Schauspielhaus Zurich during the season 1946-1947 (Im Rahmen der Juni-Festwochen);Schauspielhaus Zürich;1947-06-14T00:00:00+00:00;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Zettel, der Weber;Seyferth, Wilfried
