Playing time;Date;Play;Author;Director;Music;Stage Design;Costumes;Choreographie;Local Note;Performance Note;Special Event;Role;Actor
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Demetrius, Liebhaber der Hermia;Freitag, Robert
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Egeus, Vater der Hermia;Jensen, Eugen
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Elfe;Gericke, Sonja
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Flaut, der Bälgenflicker;Schweizer, Armin
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Helena, in Demetrius verliebt;Denzler, Sylva
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Hermia, Tochter des Egeus, in Lysander verliebt;Schalcher, Elvira
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Hippolyta, Königin der Amazonen, mit Theseus verlobt;Naef, Irene
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Lysander, Liebhaber der Hermia;Bichler, Robert
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Oberon, König der Elfen;Ammann, Lukas
1946_1947;06/14/1947;Ein Sommernachtstraum;Shakespeare, William;Wälterlin, Oskar;Mendelssohn-Bartholdy, Felix;Otto, Teo;Otto, Teo;Volkart, Mario;Park des Rieterguts, Villa Wesendonck;Freilichtaufführung;Im Rahmen der Juni-Festwochen;Puck;Parker, Erwin
