SKG_PersonID;SKG_ProductionID;foaf:givenName;foaf:familyName;schema:hasOccupation;schema:sameAs
SKGPID1P1;SKGPID1;Oskar;Wälterlin;Director;Q2034109
SKGPID1P2;SKGPID1;Felix;Mendelssohn-Bartholdy;Composer;Q46096
SKGPID1P3;SKGPID1;Teo;Otto;Scenographer;Q124839
SKGPID1P4;SKGPID1;Mario;Volkart;Choreographer;Q40005084
SKGPID1P5;SKGPID1;Robert;Freitag;Actor;Q85310
SKGPID1P6;SKGPID1;Eugen;Jensen;Actor;Q1372641
SKGPID1P7;SKGPID1;Sonja;Gericke;Actor;Q40047048
SKGPID1P8;SKGPID1;Armin;Schweizer;Actor;Q122463
SKGPID1P9;SKGPID1;Sylva;Denzler;Actor;Q40049176
SKGPID1P10;SKGPID1;Elvira;Schalcher;Actor;Q19279093
SKGPID1P11;SKGPID1;Irene;Naef;Actor;Q1672550
SKGPID1P12;SKGPID1;Robert;Bichler;Actor;Q94866036
SKGPID1P13;SKGPID1;Lukas;Ammann;Actor;Q124834
SKGPID1P14;SKGPID1;Erwin;Parker;Actor;Q45285548
SKGPID1P15;SKGPID1;Kurt;Wolfensberger;Actor;Q40036272
SKGPID1P16;SKGPID1;Gustav;Knuth;Actor;Q69382
SKGPID1P17;SKGPID1;Heinrich;Gretler;Actor;Q118900
SKGPID1P18;SKGPID1;Friedrich;Braun;Actor;Q40022998
SKGPID1P19;SKGPID1;Siegfried;Schürenberg;Actor;Q99529
SKGPID1P20;SKGPID1;Anne-Marie;Blanc;Actor;Q115888
SKGPID1P21;SKGPID1;Wilfried;Seyferth;Actor;Q2571363
