SKG_WorkID;SKG_ProductionID;rdau:P60369;schema:sameAs;schema:author;skgpa:characters
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Demetrius, Liebhaber der Hermia
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Egeus, Vater der Hermia
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Elfe
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Flaut, der Bälgenflicker
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Helena, in Demetrius verliebt
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Hermia, Tochter des Egeus, in Lysander verliebt
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Hippolyta, Königin der Amazonen, mit Theseus verlobt
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Lysander, Liebhaber der Hermia
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Oberon, König der Elfen
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Puck
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Schlucker, der Schneider
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Schnauz, der Kesselflicker
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Schnock, der Schreiner
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Squenz, der Zimmermann
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Theseus, Herzog von Athen
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Titania, Königin der Elfen
SKGPID1W1;SKGPID1;Ein Sommernachtstraum;Q104871;Q692;Zettel, der Weber
